restoration_area,planting_name,planting_location_code,planting_code
Anderson Island,Amsterdam Bay - PNNL - shallow - test - 2013,AMS_shallow,AMS_shallow_20130606_staple
Anderson Island,Amsterdam Bay - PNNL - deep - test - 2013,AMS_deep,AMS_deep_20130606_staple
Joemma Beach State Park,Joemma Beach State Park Mid - PNNL - shallow - test - 2013,JSP_mid_shallow,JSP_mid_shallow_20130605_staple
Joemma Beach State Park,Joemma Beach State Park Mid - PNNL - deep - test - 2013,JSP_mid_deep,JSP_mid_deep_20130605_staple
Liberty Bay,Liberty Bay East - PNNL - test - 2013,LBT_east,LBT_east_20130607_staple
Liberty Bay,Liberty Bay West - PNNL - test - 2013,LBT_west,LBT_west_20130607_staple
Westcott Bay,Westcott Bay East - PNNL - test - 2013,WES_east,WES_east_20130614_staple
Westcott Bay,Westcott Bay West - PNNL - test - 2013,WES_west,WES_west_20130614_staple
Zangle Cove,Zangle Cove - PNNL - test - 2013,ZAN_1,ZAN_1_20130606_staple
Port Gamble Bay,Port Gamble Bay - PNNL - test 5 - 2014,PTG_5,PTG_5_20141118_staple
Port Gamble Bay,Port Gamble Bay - PNNL - test 2 - 2014,PTG_2,PTG_2_20141119_staple
Port Gamble Bay,Port Gamble Bay - PNNL - test 3 - 2014,PTG_3,PTG_3_20141119_staple
Port Gamble Bay,Port Gamble Bay - PNNL - test 4 - 2014,PTG_4,PTG_4_20141119_staple
Port Gamble Bay,Port Gamble Bay - PNNL - test 1 - 2014,PTG_1,PTG_1_20141120_staple
Port Gamble Bay,Port Gamble Bay - PNNL - test 6 - 2014,PTG_6,PTG_6_20141120_staple
Quilcene Bay,Quilcene Bay - PNNL - test - 2014,QLC01,QLC01_20141124_staple
Anderson Island,Anderson Island West - PNNL - test - 2015,AND_west1,AND_west1_20150227_staple
Dyes Inlet,Chico Bay - PNNL - test - 2015,CHC,CHC_20150218_staple
Delano Beach,Delano Beach - PNNL - test - 2015,DEL_1,DEL_1_20150226_staple
Eld Inlet,Eld Inlet - shallow - PNNL - test - 2015,ELD_shallow,ELD_shallow_20150312_staple
Eld Inlet,Eld Inlet - deep - PNNL - test - 2015,ELD_deep,ELD_deep_20150312_staple
Graham Point,Graham Point - PNNL - test - 2015,GRA_1,GRA_1_20150312_staple
Herron Island,Herron Island - PNNL - test - 2015,HRI,HRI_20150312_staple
Hunter Point,Edgewater - south - PNNL - test - 2015,HPT_south,HPT_south_20150518_staple
Hunter Point,Edgewater - north - PNNL - test - 2015,HPT_north,HPT_north_20150518_staple
Joemma Beach State Park,Joemma Beach State Park Mid South - W - PNNL - large - 2015,JSP_mid_south_P1,JSP_mid_south_P1_20150517_staple
Joemma Beach State Park,Joemma Beach State Park Mid North - NW - PNNL - large - 2015,JSP_mid_north_P1,JSP_mid_north_P1_20150607_staple
Joemma Beach State Park,Joemma Beach State Park - southeast - PNNL - test - 2015,JSP_southeast,JSP_southeast_20150609_staple
McNeil Island,McNeil Island - north - PNNL - test - 2015,MCN_north,MCN_north_20150226_staple
Dyes Inlet,Ostrich Bay - PNNL - test - 2015,OST,OST_20150218_staple
Port Gamble Bay,Port Gamble Bay - 1 - PNNL - large scale - N corner,PTG_P1,PTG_P1_20150401_staple
Port Gamble Bay,Port Gamble Bay - 2 - PNNL - large scale - N corner,PTG_P2,PTG_P2_20150401_staple
Port Gamble Bay,Port Gamble Bay - 3 - PNNL -  large scale - NW corner,PTG_P3,PTG_P3_20150401_staple
Port Gamble Bay,Port Gamble Bay - 4 - PNNL - large scale - NW corner,PTG_P4,PTG_P4_20150401_staple
Stretch Island,Stretch Island - PNNL - test - 2015,STI,STI_20150312_staple
Zangle Cove,Zangle Cove - NW - PNNL - large - 2015,ZAN_P1,ZAN_P1_20150504_staple
Zangle Cove,Zangle Cove - SW - PNNL - test - 2015,ZAN_2,ZAN_2_20150506_staple
Anderson Island,Anderson Island West - PNNL - test - 2016,AND_west2,AND_west2_20160920_rebar
Anderson Island,Anderson Island South - PNNL - test - 2016,AND_south1,AND_south1_20160920_rebar
Delano Beach,Delano W T1 - HC - test - 2016,DEL_L1,DEL_L1_20160421_burlap
Delano Beach,Delano Beach - SE - HC - large - 2016,DEL_P1,DEL_P1_20160614_burlap
Elwha Delta,Elwha Delta - north - PNNL - test - 2016,ELW_north,ELW_north_20160811_rebar
Elwha Delta,Elwha Delta - deep west - PNNL - test - 2016,ELW_deep_west,ELW_deep_west_20160811_rebar
Elwha Delta,Elwha Delta - shallow - PNNL - test - 2016,ELW_shallow,ELW_shallow_20160811_rebar
Joemma Beach State Park,Joemma Beach State Park North - north - HC - test - 2016,JSP_north,JSP_north_20160517_burlap
Joemma Beach State Park,Joemma Beach State Park South - SE - HC - large 1 - 2016,JSP_south_P1,JSP_south_P1_20160725_burlap
McNeil Island,South Shore -PNNL - test - 1 - (eastern most) - 2016,MCN_south_1,MCN_south_1_20160921_rebar
McNeil Island,South Shore - PNNL - test - 2  - (middle) - 2016,MCN_south_2,MCN_south_2_20160921_rebar
McNeil Island,South Shore - PNNL - test - 3  - (western most) - 2016,MCN_south_3,MCN_south_3_20160921_rebar
McNeil Island,Still Harbor - PNNL - test - 1  - (southern most) - 2016,MCN_still_1,MCN_still_1_20160921_rebar
McNeil Island,Still Harbor - PNNL - test - 2  - rebar (northern most) - 2016,MCN_still_2,MCN_still_2_20160921_rebar
McNeil Island,Still Harbor - PNNL - test - 2  - staple (northern most) - 2016,MCN_still_2,MCN_still_2_20160921_staple
Penrose State Park,Penrose North - HC - test - 2016,PEN_L1,PEN_L1_20160520_burlap
Quilcene Bay,Quilcene Delta - PNNL - Northern line test plot 1 (inshore) - 2016,QLC_north1,QLC_north1_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Northern line test plot 2 - 2016,QLC_north2,QLC_north2_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Northern line test plot 3 (offshore) - 2016,QLC_north3,QLC_north3_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Middle line test plot 1 (inshore) - 2016,QLC_mid1,QLC_mid1_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Middle line test plot 2 - 2016,QLC_mid2,QLC_mid2_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Middle line test plot 3 (offshore) - 2016,QLC_mid3,QLC_mid3_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Southern line test plot 1 (inshore) - 2016,QLC_south1,QLC_south1_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Southern line test plot 2 - 2016,QLC_south2,QLC_south2_20160630_staple
Quilcene Bay,Quilcene Delta - PNNL - Southern line test plot 3 (offshore) - 2016,QLC_south3,QLC_south3_20160630_staple
Skagit Delta,Skagit Delta - PNNL - test - 1 - 2016,SKG_1,SKG_1_20160908_rebar
Skagit Delta,Skagit Delta - PNNL - test - 2 - 2016,SKG_2,SKG_2_20160908_rebar
Skagit Delta,Skagit Delta - PNNL - test - 5 - 2016,SKG_5,SKG_5_20160909_rebar
Skagit Delta,Skagit Delta - PNNL - test - 6 - 2016,SKG_6,SKG_6_20160909_rebar
Taylor Bay,Taylor Bay North - HC - test - 2016,TAY_L1,TAY_L1_20160519_burlap
Zangle Cove,Zangle Cove - DNR - test - 1 Chia - 2016,ZAN_3,ZAN_3_20160606_rebar
Zangle Cove,Zangle Cove - DNR - test - 4 Chia - 2016,ZAN_4,ZAN_4_20160721_rebar
Anderson Island,Anderson Island West - North - south - HC - test - 2017,AND_west_L1,AND_west_L1_20170505_turf
Anderson Island,Anderson Island West - South - south - HC - test - 2017,AND_south_L1,AND_south_L1_20170505_turf
Anderson Island,Anderson Island South 1 - west - HC - large - 2017,AND_south_L2,AND_south_L2_20170602_turf
Anderson Island,Anderson Island South 2 - west - HC - large - 2017,AND_south_L3,AND_south_L3_20170604_turf
Anderson Island,Anderson Island South 3 - east - PNNL - large - 2017,AND_south_L4,AND_south_L4_20170808_rebar
Commencement Bay,Commencement Bay - PNNL - Test Plot shallow - 2017,COM_shallow,COM_shallow_20170831_rebar
Commencement Bay,Commencement Bay - PNNL - Test Plot deep - 2017,COM_deep,COM_deep_20170831_rebar
Delano Beach,Delano Beach East - north - HC - test - 2017,DEL_3,DEL_3_20170717_turf
Delano Beach,Delano Beach East - south - HC - test - 2017,DEL_2,DEL_2_20170717_turf
Harstine Island,Fudge Point South - north - DNR - rebar test - 2017,FDG_1,FDG_1_20170719_rebar
Harstine Island,Fudge Point South - south - HC - test - 2017,FDG_L1,FDG_L1_20170719_turf
Harstine Island,Fudge Point North - south - HC - test - 2017,FDG_L2,FDG_L2_20170719_turf
Harstine Island,Harstine Island - PNNL - Test Plot 2 of 4 (north plot) - 2017,HAR_2,HAR_2_20170607_rebar
Harstine Island,Harstine Island - PNNL - Test Plot 3 of 4 (south plot) - 2017,HAR_3,HAR_3_20170607_rebar
Harstine Island,Harstine Island - PNNL - Test Plot 4 or 4 (south of south plot) staples - 2017,HAR_4,HAR_4_20170607_staple
Harstine Island,Harstine Island - PNNL - Test Plot 4 or 4 (south of south plot) rebar - 2017,HAR_4,HAR_4_20170607_rebar
Harstine Island,Harstine Island - PNNL - Test Plot 1 of 4 (north of north plot) - 2017,HAR_1,HAR_1_20170607_rebar
Joemma Beach State Park,Joemma Beach State Park North - south - HC - test 1 - 2017,JSP_north_L1,JSP_north_L1_20170504_turf
Joemma Beach State Park,Joemma Beach State Park North - south - HC - test 2 - 2017,JSP_north_L2,JSP_north_L2_20170504_turf
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - AG - 1 - 2017,JSP_mid_AG1,JSP_mid_AG1_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - BG - 1 - 2017,JSP_mid_BG1,JSP_mid_BG1_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - C - 1 - 2017,JSP_mid_C1,JSP_mid_C1_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - AG - 2 - 2017,JSP_mid_AG2,JSP_mid_AG2_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - C - 2 - 2017,JSP_mid_C2,JSP_mid_C2_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - BG - 2 - 2017,JSP_mid_BG2,JSP_mid_BG2_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - C - 3 - 2017,JSP_mid_C3,JSP_mid_C3_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - BG - 3 - 2017,JSP_mid_BG3,JSP_mid_BG3_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - C - 4 - 2017,JSP_mid_C4,JSP_mid_C4_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - BG - 4 - 2017,JSP_mid_BG4,JSP_mid_BG4_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - AG - 3 - 2017,JSP_mid_AG3,JSP_mid_AG3_20170525_staple
Joemma Beach State Park,Joemma Beach State Park Mid - DNR - BESE - AG - 4 - 2017,JSP_mid_AG4,JSP_mid_AG4_20170525_staple
Joemma Beach State Park,Joemma Beach State Park South - SE - DNR - methods - 2017,JSP_south_P5,JSP_south_P5_20170526_burlap
Joemma Beach State Park,Joemma Beach State Park South - SW - DNR - methods - 2017,JSP_south_P5,JSP_south_P5_20170526_washer
Joemma Beach State Park,Joemma Beach State Park South - NE - DNR - methods - 2017,JSP_south_P5,JSP_south_P5_20170526_staple
Joemma Beach State Park,Joemma Beach State Park South - NW - DNR - methods - 2017,JSP_south_P5,JSP_south_P5_20170526_rebar
Joemma Beach State Park,BESE - 1 - Aboveground (AG),JSP_AG1,JSP_AG1_20170429_staple
Joemma Beach State Park,BESE - 1 - Belowground (BG),JSP_BG1,JSP_BG1_20170429_staple
Joemma Beach State Park,BESE - 1 - Control ( C),JSP_C1,JSP_C1_20170429_staple
Joemma Beach State Park,BESE - 2 - AG,JSP_AG2,JSP_AG2_20170429_staple
Joemma Beach State Park,BESE - 2 - C,JSP_C2,JSP_C2_20170429_staple
Joemma Beach State Park,BESE - 2 - BG,JSP_BG2,JSP_BG2_20170429_staple
Joemma Beach State Park,BESE - 3 - C,JSP_C3,JSP_C3_20170429_staple
Joemma Beach State Park,BESE - 3 - BG,JSP_BG3,JSP_BG3_20170429_staple
Joemma Beach State Park,BESE - 4 - C,JSP_C4,JSP_C4_20170429_staple
Joemma Beach State Park,BESE - 4 - BG,JSP_BG4,JSP_BG4_20170429_staple
Joemma Beach State Park,BESE - 3 - AG,JSP_AG3,JSP_AG3_20170429_staple
Joemma Beach State Park,BESE - 4 - AG,JSP_AG4,JSP_AG4_20170429_staple
McDermott Point,McDermott Point South - south - HC - test - 2017,MCD_south_L1,MCD_south_L1_20170504_turf
McDermott Point,McDermott Point North - south - HC - test - 2017,MCD_north_L1,MCD_north_L1_20170504_turf
McNeil Island,McNeil Island North - PNNL - test - 1 - 2017,MCN_north_2,MCN_north_2_20170607_rebar
McNeil Island,McNeil Island North - PNNL - test - 2 - 2017,MCN_North_3,MCN_North_3_20170607_rebar
McNeil Island,McNeil Island South - mid plot - PNNL - large - 2017,MCN_south_L2,MCN_south_L2_20170706_rebar
McNeil Island,McNeil Island South - east plot - PNNL - large - 2017,MCN_south_L1,MCN_south_L1_20170707_rebar
McNeil Island,McNeil Island South - west plot - PNNL - large - 2017,MCN_south_L3,MCN_south_L3_20170708_rebar
Milwaukee Dock,Milwaukee Dock southern depression - PNNL - test - anchor1 - 2017,MIL_1,MIL_1_20170831_rebar
Milwaukee Dock,Milwaukee Dock southern depression - PNNL - test - anchor3 - 2017,MIL_3,MIL_3_20170831_rebar
Westcott Bay,Westcott Bay - PNNL - Test Plot A - 2017,WES_A,WES_A_20170601_rebar
Westcott Bay,Westcott Bay - PNNL - Test Plot B - 2017,WES_B,WES_B_20170601_rebar
Westcott Bay,Westcott Bay - PNNL - Test Plot C - 2017,WES_C,WES_C_20170602_rebar
Westcott Bay,Westcott Bay - PNNL - Test Plot D - 2017,WES_D,WES_D_20170602_rebar
Commencement Bay,Commencement Bay - PNNL - large - 2018,COM_L1,COM_L1_20180626_rebar
Delano Beach,Delano Beach - PNNL - test - enhancement,DEL_1,DEL_1_20180628_rebar
Delano Beach,Delano Beach East - north - HC - test - enhancement ,DEL_3,DEL_3_20180628_rebar
Harstine Island,Fudge Point South - south - HC - test - 2018,FDG_L1,FDG_L1_20180612_rebar
Harstine Island,Fudge Point North - south - HC - test - 2018,FDG_L2,FDG_L2_20180612_rebar
Harstine Island,Harstine - PNNL - Large Scale 1 - north - 2018,HAR_L1,HAR_L1_20180515_rebar
Harstine Island,Harstine - PNNL - Large Scale 1 - south - 2018,HAR_L2,HAR_L2_20180614_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 1S - 2018,QMH_1S,QMH_1S_20180530_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 1D - 2018,QMH_1D,QMH_1D_20180530_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 4S - 2018,QMH_4S,QMH_4S_20180530_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 4D - 2018,QMH_4D,QMH_4D_20180530_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 5S - 2018,QMH_5S,QMH_5S_20180531_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 5D - 2018,QMH_5D,QMH_5D_20180531_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 2D - 2018,QMH_2D,QMH_2D_20180601_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 3S - 2018,QMH_3S,QMH_3S_20180601_rebar
Quartermaster Harbor,Quartermaster Harbor - PNNL - Test Plot 3D - 2018,QMH_3D,QMH_3D_20180601_rebar
