restoration_area,Shape_Length,Shape_Area,SUM_shoot_count,burlap,pucks,rebar,staple,turf,washer
Anderson Island,44791.843775582136004,85543464.744073435664177,60533.000000000000000,0,0,11525,1940,47068,0
Commencement Bay,6400.622621404611891,3258815.720166488084942,11825.000000000000000,0,0,11825,0,0,0
Delano Beach,16666.936667659425439,15758715.489537212997675,24817.000000000000000,21630,0,500,500,2187,0
Dyes Inlet,20734.623929535180650,17590205.592577781528234,1000.000000000000000,0,0,0,1000,0,0
Eld Inlet,6383.217016629911086,3240920.166247694287449,1000.000000000000000,0,0,0,1000,0,0
Elwha Delta,31619.764490045745333,29100530.952156171202660,1550.000000000000000,0,0,1550,0,0,0
Graham Point,6282.502300168828697,3140226.649232664145529,500.000000000000000,0,0,0,500,0,0
Harstine Island,50097.024118238790834,64156179.321006648242474,31204.000000000000000,0,0,28188,800,2216,0
Herron Island,6282.502300161952007,3140226.649225790519267,500.000000000000000,0,0,0,500,0,0
Hunter Point,9184.585909815143168,6042296.113021505065262,1000.000000000000000,0,0,0,1000,0,0
Joemma Beach State Park,18550.190542278993235,17935293.690350439399481,48914.000000000000000,21130,126,216,25258,2094,90
Liberty Bay,12581.624715176760219,9438831.100789900869131,1320.000000000000000,0,0,0,1320,0,0
McDermott Point,6591.011371763113857,3449500.057944317813963,1992.000000000000000,0,0,0,0,1992,0
McNeil Island,43279.438550180166203,94907980.524272784590721,16325.000000000000000,0,0,15325,1000,0,0
Milwaukee Dock,6320.714424575161502,3178446.931388957891613,950.000000000000000,0,0,950,0,0,0
Penrose State Park,6282.502300165321685,3140226.649229160975665,780.000000000000000,780,0,0,0,0,0
Port Gamble Bay,14257.795953377612022,12982736.617086868733168,26902.000000000000000,0,0,0,26902,0,0
Quartermaster Harbor,24543.707002700695739,37279349.318565487861633,5400.000000000000000,0,0,5400,0,0,0
Quilcene Bay,8280.516862743543243,5187572.555100826546550,2660.000000000000000,0,0,0,2660,0,0
Skagit Delta,7745.068526262058185,4635729.600424011237919,1800.000000000000000,0,0,1800,0,0,0
Stretch Island,6282.502300165464476,3140226.649229302536696,500.000000000000000,0,0,0,500,0,0
Taylor Bay,6450.352626700307155,3308080.919369885697961,780.000000000000000,780,0,0,0,0,0
Westcott Bay,18045.099407640413119,16446473.363031953573227,3013.000000000000000,0,0,2093,920,0,0
Zangle Cove,7104.570456973307046,3990390.059418417513371,10592.000000000000000,0,0,240,10352,0,0
