Source,Target,Value
Planting gps recs,Point gps recs,168
Planting gps recs,Line gps recs,56
Planting gps recs,Polygon gps recs,52
Planting gps recs,Grid gps recs,12
Point_gps_recs,Point plantings,168
Line gps recs,Line plantings,33
Polygon gps recs,Polygon plantings,14
Grid gps recs,Grid plantings,12
Point plantings,Coordinates present,149
Point plantings,Coordinates absent,19
Line plantings,Coordinates present,33
Polygon plantings,Coordinates present,14
Grid plantings,Coordinates present,8
Grid plantings,Coordinates absent,4
Coordinates present,Point spatial test,148
Coordinates present,Point spatial large-scale,1
Coordinates present,Line spatial test,23
Coordinates present,Line spatial large-scale,10
Coordinates present,Polygon spatial large-scale,14
Coordinates present,Grid spatial test,8
Coordinates absent,Point nonspatial test,19
Coordinates absent,Grid nonspatial test,4
Point spatial test,Test,148
Line spatial test ,Test,23
Grid spatial test,Test,8
Point spatial large-scale,Large-scale,1
Line spatial large-scale,Large-scale,10
Polygon spatial large-scale,Large-scale,14
Point nonspatial test,Test,19
Grid nonspatial test,Test,4
