"","donor_site_names"
"1","Thompson Cove"
"2","Ketron Island"
"3","Sandy Point"
"4","Rocky Bay"
"5",NA
"6","Anderson Island"
"7","DuPont Wharf"
"8","Dumas Bay"
"9","Fay Bainbridge"
"10","Henry Island"
"11","Ship Harbor"
"12","Mixed"
"13","Creosote Point"
"14","Cutts Island"
"15","Green Point"
"16","Windy Bluff"
"17","Freshwater Bay"
"18","Rocky Point"
"19","Anderson Island, Windy Bluff"
"20","Windy Bluff/Thompson Cove"
"21","Windy Bluff and Thompson Cove"
"22","Sandy Hook"
"23","Point Julia"
"24","Quilcene Bay"
"25","Shine Beach"
"26","Skagit Bay"
"27","PNNL - MSL Tanks"
"28","Bell Point, Stuart Island"
"29","Bell Point"
"30","Mitchell Bay"
