"","group_no","loc_code","method"
"1",1,"AMS_shallow","staple"
"2",2,"AMS_deep","staple"
"3",3,"AND_west1","staple"
"4",4,"AND_west2","rebar"
"5",5,"AND_south1","rebar"
"6",6,"multiple","turf"
"7",7,"multiple","turf"
"8",8,"multiple","turf"
"9",9,"multiple","turf"
"10",10,"multiple","rebar"
"11",11,"AMS_deeper","rebar"
"12",12,"AND_west3","rebar"
"13",13,"AND_nw1","rebar"
"14",14,"AND_west4","rebar"
"15",15,"AND_west5","rebar"
"16",16,"AND_west6","rebar"
"17",17,"AND_se1","rebar"
"18",18,"BB_test_1","rebar"
"19",19,"BB_test_1","rebar"
"20",20,"BB_test_1","rebar"
"21",21,"BB_test_1","rebar"
"22",22,"BB_test_1","rebar"
"23",23,"CHC","staple"
"24",24,"COM_shallow","rebar"
"25",25,"COM_deep","rebar"
"26",26,"multiple","rebar"
"27",27,"multiple","rebar"
"28",28,"DEL_1","staple"
"29",29,"multiple","multiple"
"30",30,"multiple","burlap"
"31",31,"DEL_3","turf"
"32",32,"DEL_2","turf"
"33",33,"DEL_1","rebar"
"34",34,"DEL_3","rebar"
"35",35,"DEL_east_1","rebar"
"36",36,"DEL_west_1","rebar"
"37",37,"DEL_L","rebar"
"38",38,"DEL_west_shallow_1","rebar"
"39",39,"DEL_west_deep_1","rebar"
"40",40,"DB_test_1","rebar"
"41",41,"DB_test_2","rebar"
"42",42,"DB_test_2","rebar"
"43",43,"DB_test_2","rebar"
"44",44,"DB_test_2","rebar"
"45",45,"DB_test_6","rebar"
"46",46,"DB_test_7","rebar"
"47",47,"ELD_shallow","staple"
"48",48,"ELD_deep","staple"
"49",49,"ELD","rebar"
"50",50,"ELW_deep_west","rebar"
"51",51,"ELW_shallow_west","rebar"
"52",52,"FDG_1","rebar"
"53",53,"multiple","turf"
"54",54,"multiple","turf"
"55",55,"multiple","rebar"
"56",56,"multiple","rebar"
"57",57,"GRA_1","staple"
"58",58,"GRA_2","rebar"
"59",59,"HAR_2","rebar"
"60",60,"HAR_3","rebar"
"61",61,"HAR_4","staple"
"62",62,"HAR_4","rebar"
"63",63,"HAR_1","rebar"
"64",64,"multiple","rebar"
"65",65,"multiple","rebar"
"66",66,"multiple","rebar"
"67",67,"multiple","rebar"
"68",68,"HAR_5","rebar"
"69",69,"HAR_6","rebar"
"70",70,"HRI","staple"
"71",71,"HPT_south_1","staple"
"72",72,"HPT_north_2","staple"
"73",73,"HPT_south_2","rebar"
"74",74,"HPT_north_2","rebar"
"75",75,"JSP_mid_shallow","staple"
"76",76,"JSP_mid_deep","staple"
"77",77,"multiple","multiple"
