"","group_no","loc_code","method","donorsites"
"1",1,"AMS_shallow","staple","Thompson Cove"
"2",2,"AMS_deep","staple","Thompson Cove"
"3",3,"AND_west1","staple","Ketron Island"
"4",4,"AND_west2","rebar","Sandy Point"
"5",5,"AND_south1","rebar","Sandy Point"
"6",6,"AND_west_L1","turf","Rocky Bay"
"7",7,"AND_south_L1","turf","Rocky Bay"
"8",8,"AND_south_L2","turf","Rocky Bay"
"9",9,"AND_south_L3","turf","Rocky Bay"
"10",10,"AND_south_L4","rebar","Thompson Cove"
"11",11,"AMS_deeper","rebar","Anderson Island"
"12",12,"AND_west3","rebar","Anderson Island"
"13",13,"AND_nw1","rebar","Anderson Island"
"14",14,"AND_west4","rebar","DuPont Wharf"
"15",15,"AND_west5","rebar","DuPont Wharf"
"16",16,"AND_west6","rebar","DuPont Wharf"
"17",17,"AND_se1","rebar","DuPont Wharf"
"18",18,"BB_test_1","rebar","Dumas Bay"
"19",19,"BB_test_1","rebar","Fay Bainbridge"
"20",20,"BB_test_1","rebar","Henry Island"
"21",21,"BB_test_1","rebar","Ship Harbor"
"22",22,"BB_test_1","rebar","Mixed"
"23",23,"CHC","staple","Creosote Point"
"24",24,"COM_shallow","rebar","Creosote Point"
"25",25,"COM_deep","rebar","Creosote Point"
"26",26,"COM_L1","rebar","Dumas Bay"
"27",27,"COM_L2","rebar","Dumas Bay"
"28",28,"DEL_1","staple","Ketron Island"
"29",29,"DEL_L1","burlap","Cutts Island"
"30",30,"DEL_P1","burlap","Cutts Island"
"31",31,"DEL_3","turf","Cutts Island"
"32",32,"DEL_2","turf","Cutts Island"
"33",33,"DEL_1","rebar","DuPont Wharf"
"34",34,"DEL_3","rebar","DuPont Wharf"
"35",35,"DEL_east_1","rebar","Anderson Island"
"36",36,"DEL_west_1","rebar","Anderson Island"
"37",37,"DEL_L","rebar","Green Point"
"38",38,"DEL_west_shallow_1","rebar","DuPont Wharf"
"39",39,"DEL_west_deep_1","rebar","DuPont Wharf"
"40",40,"DB_test_1","rebar","Dumas Bay"
"41",41,"DB_test_2","rebar","Dumas Bay"
"42",42,"DB_test_2","rebar","DuPont Wharf"
"43",43,"DB_test_2","rebar","DuPont Wharf"
"44",44,"DB_test_2","rebar","DuPont Wharf"
"45",45,"DB_test_6","rebar","DuPont Wharf"
"46",46,"DB_test_7","rebar","DuPont Wharf"
"47",47,"ELD_shallow","staple","Windy Bluff"
"48",48,"ELD_deep","staple","Windy Bluff"
"49",49,"ELD","rebar","Anderson Island"
"50",50,"ELW_deep_west","rebar","Freshwater Bay"
"51",51,"ELW_shallow_west","rebar","Freshwater Bay"
"52",52,"FDG_1","rebar","Rocky Bay"
"53",53,"FDG_L1","turf","Rocky Bay"
"54",54,"FDG_L2","turf","Rocky Bay"
"55",55,"FDG_L1","rebar","DuPont Wharf"
"56",56,"FDG_L2","rebar","DuPont Wharf"
"57",57,"GRA_1","staple","Windy Bluff"
"58",58,"GRA_2","rebar","DuPont Wharf"
"59",59,"HAR_2","rebar","Windy Bluff"
"60",60,"HAR_3","rebar","Windy Bluff"
"61",61,"HAR_4","staple","Windy Bluff"
"62",62,"HAR_4","rebar","Windy Bluff"
"63",63,"HAR_1","rebar","Windy Bluff"
"64",64,"HAR_deep_L1","rebar","Rocky Point"
"65",65,"HAR_shallow_L1","rebar","Windy Bluff"
"66",66,"HAR_shallow_L2","rebar","Anderson Island, Windy Bluff"
"67",67,"HAR_shallow_L3","rebar","Anderson Island, Windy Bluff"
"68",68,"HAR_5","rebar","Rocky Bay"
"69",69,"HAR_6","rebar","Rocky Bay"
"70",70,"HRI","staple","Windy Bluff"
"71",71,"HPT_south_1","staple","Thompson Cove"
"72",72,"HPT_north_2","staple","Thompson Cove"
"73",73,"HPT_south_2","rebar","Rocky Bay"
"74",74,"HPT_north_2","rebar","Rocky Bay"
"75",75,"JSP_mid_shallow","staple","Windy Bluff/Thompson Cove"
"76",76,"JSP_mid_deep","staple","Windy Bluff/Thompson Cove"
"77",77,"JSP_mid_south_P1","staple","Windy Bluff and Thompson Cove"
"78",78,"JSP_mid_north_P1","staple","Windy Bluff and Thompson Cove"
"79",79,"JSP_southeast","staple","Windy Bluff and Thompson Cove"
"80",80,"JSP_north","burlap","Rocky Bay"
"81",81,"JSP_south_P1","burlap","Rocky Bay"
"82",82,"JSP_chia_1","rebar","DuPont Wharf"
"83",83,"JSP_north_L1","turf","Rocky Bay"
"84",84,"JSP_north_L2","turf","Rocky Bay"
"85",85,"JSP_south_P2","turf","Cutts Island"
"86",86,"JSP_south_P3","turf","DuPont Wharf"
"87",87,"JSP_south_P4","turf","Rocky Bay"
"88",88,"multiple","staple","DuPont Wharf"
"89",89,"JSP_north_P1","multiple","DuPont Wharf"
"90",90,"JSP_mid_P1","multiple","DuPont Wharf"
"91",91,"JSP_south_P5","multiple","DuPont Wharf"
"92",92,"JSP_mid_south_2","rebar","DuPont Wharf"
"93",93,"JSP_mid_south_2","rebar","DuPont Wharf"
"94",94,"JSP_mid_south_2","rebar","DuPont Wharf"
"95",95,"JSP_mid_south_2","burlap","DuPont Wharf"
"96",96,"multiple","staple","Dumas Bay"
"97",97,"JSP_mid_south_2","rebar","DuPont Wharf"
"98",98,"JSP_mid_south_1","rebar","DuPont Wharf"
"99",99,"JSP_mid_1","rebar","DuPont Wharf"
"100",100,"JSP_mid_1","pucks","DuPont Wharf"
"101",101,"JSP_mid_2","pucks","DuPont Wharf"
"102",102,"JSP_mid_2","rebar","DuPont Wharf"
"103",103,"JSP_mid_3","rebar","DuPont Wharf"
"104",104,"JSP_mid_3","pucks","DuPont Wharf"
"105",105,"JSP_mid_4","rebar","Dumas Bay"
"106",106,"WHB_test_1","rebar","Rocky Bay"
"107",107,"JSP_south_test","rebar","DuPont Wharf"
"108",108,"JSP_mid_connect","rebar","DuPont Wharf"
"109",109,"HC_off_1","rebar","DuPont Wharf"
"110",110,"HC_off_2","rebar","DuPont Wharf"
"111",111,"KYP_dog1","rebar","Anderson Island"
"112",112,"LBT_east","staple","Sandy Hook"
"113",113,"LBT_west","staple","Sandy Hook"
"114",114,"MCD_south_L1","turf","Rocky Bay"
"115",115,"MCD_north_L1","turf","Rocky Bay"
"116",116,"MCD_1","rebar","Anderson Island"
"117",117,"MCN_north","staple","Ketron Island"
"118",118,"MCN_south_1","rebar","Sandy Point"
"119",119,"MCN_south_2","rebar","Sandy Point"
