"","site_location","site_name","svmp_region","contract_dnr_number","planting_date.x","planted_area_m2.x","number_shoots.x","monitoring_org","monitoring_date","veg_presence","planting_method.x","shoot_count","veg_area_m2","shoot_density_m2","days_since_planted","survival","notes.x","notes2","plantingID","planting_location_code","planting_date.y","planting_method.y","donor_site_code","subproj_code","activity_type","planting_geometry","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2.y","effective_area_planted_m2","number_planting_units","number_shoots.y","plot_shoot_density_m2","planted_area_shoot_density_m2","notes.y","plt_date_match","plt_area_match","num_shoots_match","plt_method_match"
"1","Anderson Island","Amsterdam Bay - PNNL - deep - test - 2013","CPS","IAA 12-317",2013-06-06,"36",720,"PNNL",2013-12-05,"present","staple",NA,36,0,182,NA,"approximately 50% of original coverage, plants healthier and larger than shallow site, some over 0.5m, numerous snails on the blades",NA,"AMS_deep__2013-06-06__staple__THC","AMS_deep",2013-06-06,"staple","THC","twentypc__WDFW__PNNL","test","point",6,6,36,36,0.9,180,720,20,20,"None.","match","match","match","match"
"2","Anderson Island","Amsterdam Bay - PNNL - deep - test - 2013","CPS","IAA 12-317",2013-06-06,"36",720,"PNNL",2014-03-27,"present","staple",17,36,0.472222222222222,294,0.0236111111111111,"fine sediments",NA,"AMS_deep__2013-06-06__staple__THC","AMS_deep",2013-06-06,"staple","THC","twentypc__WDFW__PNNL","test","point",6,6,36,36,0.9,180,720,20,20,"None.","match","match","match","match"
"3","Anderson Island","Amsterdam Bay - PNNL - deeper - test - 2020","CPS","0",2020-06-30,"4.75",475,"PNNL",2021-04-21,"present","rebar",100,6.25,16,295,0.210526315789474,"Y","partially exposed rebar; a little ulva around but not much, can mostly see substrate, elephant ear type algae, lots of snails; plants are crusty","AMS_deeper__2020-06-30__rebar__THC","AMS_deeper",2020-06-30,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,4.75,0.475,19,475,76,100,"180 deg az, sandy with gravel some wispy ulva","match","match","match","match"
"4","Anderson Island","Amsterdam Bay - PNNL - shallow - test - 2013","CPS","IAA 12-317",2013-06-06,"36",720,"PNNL",2013-12-05,"present","staple",NA,36,0,182,NA,"disappointing, only 1 clump of eelgrass remaining and some isolated shoots, plants generally short, most ulva gone",NA,"AMS_shallow__2013-06-06__staple__THC","AMS_shallow",2013-06-06,"staple","THC","twentypc__WDFW__PNNL","test","point",6,6,36,36,0.9,180,720,20,20,"None.","match","match","match","match"
"5","Anderson Island","Amsterdam Bay - PNNL - shallow - test - 2013","CPS","IAA 12-317",2013-06-06,"36",720,"PNNL",2014-03-27,"present","staple",9,36,0.25,294,0.0125,NA,NA,"AMS_shallow__2013-06-06__staple__THC","AMS_shallow",2013-06-06,"staple","THC","twentypc__WDFW__PNNL","test","point",6,6,36,36,0.9,180,720,20,20,"None.","match","match","match","match"
"6","Anderson Island","Anderson Island Northwest - PNNL - test - 2020","CPS","0",2020-06-30,"5",500,"PNNL",2021-04-21,"present","rebar",53,6.25,8.48,295,0.106,"Y","lots of floculent, thick brown mat of diatom or algae with black possibly anoxic layer underneath. Avg. eelgrass size 10 cm but some up to 50 cm. Some eelgrass not actually attached to rebar","AND_nw1__2020-06-30__rebar__THC","AND_nw1",2020-06-30,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"170deg az, sandy with non-attached ulva","match","match","match","match"
"7","Anderson Island","Anderson Island Northwest - PNNL - test - 2020","CPS","0",2020-06-30,"5",500,"DNR",2023-06-06,"present","rebar",NA,NA,NA,1071,NA,"Only a spot check. There appeared to be many more plants than the last monitoring in April 2021. Photos in Anderson Island folder (K:\projects\Eelgrass_Restoration\Photos\Anderson_Island\Anderson_Island_northwest). Will count during next field effort.",NA,"AND_nw1__2020-06-30__rebar__THC","AND_nw1",2020-06-30,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"170deg az, sandy with non-attached ulva","match","match","match","match"
"8","Anderson Island","Anderson Island Northwest - PNNL - test - 2020","CPS","0",2020-06-30,"5",500,"DNR",2023-06-16,"present","rebar",665,17.6,37.7840909090909,1081,1.33,"Counted shoot density in 9 - 0.25 m2 quadrats and the X - Y area. Area was 4.4 m x 4 m. Average shoot density = 37.8 from monitoring. Multiplied 37.8 x 17.6 to get total estimated shoot count of 665.",NA,"AND_nw1__2020-06-30__rebar__THC","AND_nw1",2020-06-30,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"170deg az, sandy with non-attached ulva","match","match","match","match"
"9","Anderson Island","Anderson Island Northwest - PNNL - test - 2020","CPS","0",2020-06-30,"5",500,"DNR",2024-05-09,"present","rebar",1107,22.5,49.2,1409,2.214,"Counted shoot density in 5 - 0.25 m2 quadrats and the X - Y area. Area was 4.5 m x 5 m. Average shoot density = 37.8 from monitoring. Multiplied 49.2 x 22.5 to get total estimated shoot count of 1107. 80% average canopy height = 70.2 cm.",NA,"AND_nw1__2020-06-30__rebar__THC","AND_nw1",2020-06-30,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"170deg az, sandy with non-attached ulva","match","match","match","match"
"10","Anderson Island","Anderson Island Northwest - PNNL - test - 2020","CPS","0",2020-06-30,"5",500,"DNR",2025-04-01,"unknown","rebar",NA,NA,NA,NA,NA,"visited site but could not see Zm. Could be that tidal elevation was too high or algal cover too thick (ulvoids present)",NA,"AND_nw1__2020-06-30__rebar__THC","AND_nw1",2020-06-30,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"170deg az, sandy with non-attached ulva","match","match","match","match"
"11","Anderson Island","Anderson Island South - PNNL - test - 2016","CPS","93-099661",2016-09-20,"6.25",500,"PNNL",2017-04-11,"present","rebar",103,6,17.1666666666667,203,0.206,"pretty good survival and the plants look great, current is strong enough to push the plants horizontal",NA,"AND_south1__2016-09-20__rebar__SPT","AND_south1",2016-09-20,"rebar","SPT","zos_rest_3_deltas__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"Also known as Gaeckle 3","match","no_match","match","match"
"12","Anderson Island","Anderson Island South 1 - west - HC - large - 2017","CPS","SC 16-17",2017-06-02,"40",20500,"DNR",2017-07-25,"present","turf",NA,NA,NA,53,NA,"DNR snorkel monitoring. Zm present at both sites but loads of ulvoids attached to each planting unit. Easy to find because of clumps of ulvoids. Good photos documenting monitoring.",NA,"AND_south_L2__2017-06-02__turf__RKB","AND_south_L2",2017-06-02,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","large scale","line",40,4,160,155,20.5,2050,20500,128.125,132.258064516129,"large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 20500/10 = 2050.","match","no_match","match","match"
"13","Anderson Island","Anderson Island South 1 - west - HC - large - 2017","CPS","SC 16-17",2017-06-02,"40",20500,"DNR",2018-05-09,"absent","turf",0,NA,NA,341,0,"DNR Geoduck Compliance Diver monitoring. Lots of green algae.",NA,"AND_south_L2__2017-06-02__turf__RKB","AND_south_L2",2017-06-02,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","large scale","line",40,4,160,155,20.5,2050,20500,128.125,132.258064516129,"large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 20500/10 = 2050.","match","no_match","match","match"
"14","Anderson Island","Anderson Island South 1 - west - HC - large - 2017","CPS","SC 16-17",2017-06-02,"40",20500,"DNR",2018-08-12,"absent","turf",0,NA,NA,436,0,"DNR snorkel monitoring. No Zm found.",NA,"AND_south_L2__2017-06-02__turf__RKB","AND_south_L2",2017-06-02,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","large scale","line",40,4,160,155,20.5,2050,20500,128.125,132.258064516129,"large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 20500/10 = 2050.","match","no_match","match","match"
"15","Anderson Island","Anderson Island South 2 - west - HC - large - 2017","CPS","SC 16-17",2017-06-04,"40",24830,"DNR",2017-07-25,"present","turf",NA,NA,NA,51,NA,"DNR snorkel monitoring. Zm present at both sites but loads of ulvoids attached to each planting unit. Easy to find because of clumps of ulvoids. Good photos documenting monitoring.",NA,"AND_south_L3__2017-06-04__turf__RKB","AND_south_L3",2017-06-04,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","large scale","line",40,4,160,160,24.83,2483,24830,155.1875,155.1875,"large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 24,830/10 = 2483.","match","no_match","match","match"
"16","Anderson Island","Anderson Island South 2 - west - HC - large - 2017","CPS","SC 16-17",2017-06-04,"40",24830,"DNR",2018-05-09,"present","turf",55,1.25,44,339,0.00221506242448651,"DNR Geoduck Compliance Diver monitoring. Lots of green algae.",NA,"AND_south_L3__2017-06-04__turf__RKB","AND_south_L3",2017-06-04,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","large scale","line",40,4,160,160,24.83,2483,24830,155.1875,155.1875,"large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 24,830/10 = 2483.","match","no_match","match","match"
"17","Anderson Island","Anderson Island South 2 - west - HC - large - 2017","CPS","SC 16-17",2017-06-04,"40",24830,"DNR",2018-08-12,"present","turf",34,1,34,434,0.0013693113169553,"DNR snorkel monitoring. Few Zm plants found",NA,"AND_south_L3__2017-06-04__turf__RKB","AND_south_L3",2017-06-04,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","large scale","line",40,4,160,160,24.83,2483,24830,155.1875,155.1875,"large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 24,830/10 = 2483.","match","no_match","match","match"
"18","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"PNNL",2018-03-05,"present","rebar",NA,NA,NA,209,NA,"viewed from surface, plants in tidy rows with no evidence of spread",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"19","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"PNNL",2018-03-07,"present","rebar",NA,75,NA,211,NA,"counted 40 lines of plants, looked slightly less dense than when planted",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"20","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"PNNL",2019-04-16,"present","rebar",4770,105,45.4285714285714,616,0.453206650831354,"PNNL divers surveyed 42, 0.25 m2 quadrats systematically with a random start throughout planted area to estimate average density m-2 for the planted area. Overall eelgrass looked good at the site, bare right along baseline. Patchy along deeper edge.",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"21","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"rebar",150,"PNNL",2020-05-14,"present","rebar",20682,105.25,196.503562945368,1010,137.88,"PNNL divers surveyed 41 0.25 m2 quadrats along the rebar planted transects and calculated density based on shoots counted divided by surveyed area. Applied calculated density to the entire planted area to estimated number of shoots survived.",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","no_match","no_match","match"
"22","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"DNR",2022-05-16,"present","rebar",NA,NA,NA,1742,NA,"Qualitative assessment from boat.",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"23","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"DNR",2022-06-15,"present","rebar",NA,NA,NA,1772,NA,"quantitative shoot counts based on 15, 0.25 m2 quadrat and canopy height samples taken by Julia Ledbetter and Jeff Gaeckle. Tyler Cowdrey captured area estimates using the UAV on 6/14/2022",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"24","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"DNR",2023-06-15,"present","rebar",NA,NA,NA,NA,NA,NA,NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"25","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"DNR",2024-06-15,"present","rebar",NA,NA,NA,NA,NA,NA,NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"26","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","CPS","IAA 15-101",2017-08-08,"105.25",10525,"DNR",2025-04-01,"present","rebar",NA,NA,NA,NA,NA,"Zm present, but very little. Seemed as though there was a significant over winter loss. Late June/July survey will provide better understanding of Zm condition.",NA,"AND_south_L4__2017-08-08__rebar__THC","AND_south_L4",2017-08-08,"rebar","THC","zos_rest_3_deltas__USACE__PNNL","large scale","line",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"Site also known as Gaeckle 3, base line runs 320°","match","match","match","match"
"27","Anderson Island","Anderson Island West - North - south - HC - test - 2017","CPS","SC 16-17",2017-05-05,"6",869,"HC",2017-07-17,"present","turf",235,6,39.1666666666667,73,0.270425776754891,"Eelgrass dying. Site covered in thick ulva.",NA,"AND_west_L1__2017-05-05__turf__RKB","AND_west_L1",2017-05-05,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,0.87,87,869,86.9,144.833333333333,"Referred to as 'Anderson Island West 1' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","match","match","match","match"
"28","Anderson Island","Anderson Island West - North - south - HC - test - 2017","CPS","SC 16-17",2017-05-05,"6",869,"DNR",2018-05-30,"absent","turf",0,0,NA,390,0,"Entire site covered with algae. Line still in place from test plot set up.",NA,"AND_west_L1__2017-05-05__turf__RKB","AND_west_L1",2017-05-05,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,0.87,87,869,86.9,144.833333333333,"Referred to as 'Anderson Island West 1' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","match","match","match","match"
"29","Anderson Island","Anderson Island West - North - south - HC - test - 2017","CPS","SC 16-17",2017-05-05,"6",869,"DNR",2023-06-06,"absent","turf",0,0,NA,2223,0,"No eelgrass. Removed helical anchors and line.",NA,"AND_west_L1__2017-05-05__turf__RKB","AND_west_L1",2017-05-05,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,0.87,87,869,86.9,144.833333333333,"Referred to as 'Anderson Island West 1' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","match","match","match","match"
"30","Anderson Island","Anderson Island West - PNNL - test - 2015","CPS","IAA 12-317.1",2015-02-27,"25",500,"DNR",2015-07-30,"present","staple",4,NA,NA,153,0.008,"DNR snorkel monitoring. Zm present but only 4 shoots.",NA,"AND_west1__2015-02-27__staple__KTI","AND_west1",2015-02-27,"staple","KTI","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"None.","match","match","match","match"
"31","Anderson Island","Anderson Island West - PNNL - test - 2015","CPS","IAA 12-317.1",2015-02-27,"25",500,NA,2017-04-11,"absent","staple",0,NA,NA,774,0,NA,NA,"AND_west1__2015-02-27__staple__KTI","AND_west1",2015-02-27,"staple","KTI","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"None.","match","match","match","match"
