"","site_location","site_name","planting_location_code","planting_relationships","year","historical_presence_source","planting_geometry","water_body","svmp_region","activity_type","activity_filter","planting_date","latitude","longitude","retain_drop","datum","elevation_m_MLLW","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effective_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_name","notes","subproj_code","group_no"
"1","Anderson Island","Amsterdam Bay - PNNL - shallow - test - 2013","AMS_shallow","single",2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Drayton Passage","CPS","test","test",2013-06-06,47.1606,-122.727766666667,"retain","WGS84",-0.9144,"staple",6,6,36,36,0.9,"180",720,20,20,"Thompson Cove",NA,"twentypc__WDFW__PNNL",1
"2","Anderson Island","Amsterdam Bay - PNNL - deep - test - 2013","AMS_deep","single",2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Drayton Passage","CPS","test","test",2013-06-06,47.1606833333333,-122.727816666667,"retain","WGS84",-1.524,"staple",6,6,36,36,0.9,"180",720,20,20,"Thompson Cove",NA,"twentypc__WDFW__PNNL",2
"3","Anderson Island","Anderson Island West - PNNL - test - 2015","AND_west1","single",2015,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Drayton Passage","CPS","test","test",2015-02-27,47.1707833333333,-122.728883333333,"retain","WGS84",-0.8,"staple",5,5,25,25,0.625,"125",500,20,20,"Ketron Island",NA,"zos_rest_ps__DNR__PNNL",3
"4","Anderson Island","Anderson Island West - PNNL - test - 2016","AND_west2","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Nisqually Reach","CPS","test","test",2016-09-20,47.1709333333333,-122.72905,"retain","WGS84",-1.7,"rebar",2.5,2.5,6.25,5,0.5,"20",500,80,100,"Sandy Point",NA,"zos_rest_3_deltas__USACE__PNNL",4
"5","Anderson Island","Anderson Island South - PNNL - test - 2016","AND_south1","single",2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Nisqually Reach","CPS","test","test",2016-09-20,47.13263333,-122.7181167,"retain","WGS84",-1.9,"rebar",2.5,2.5,6.25,5,0.5,"20",500,80,100,"Sandy Point","Also known as Gaeckle 3","zos_rest_3_deltas__USACE__PNNL",5
"6","Anderson Island","Anderson Island West - North - south - HC - test - 2017","AND_west_L1","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Drayton Passage","CPS","test","test",2017-05-05,47.18183,-122.71405,"retain","WGS84",-1.6,"turf",10,1,10,6,0.87,"87",869,86.9,144.833333333333,"Rocky Bay","Referred to as 'Anderson Island West 1' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","zos_rest_ps__WDFW__Hart Crowser",6
"7","Anderson Island","Anderson Island West - North - north - HC - test - 2017","AND_west_L1","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Drayton Passage","CPS","test","--",2017-05-05,47.18186,-122.71403,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",6
"8","Anderson Island","Anderson Island West - South - south - HC - test - 2017","AND_south_L1","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Drayton Passage","CPS","test","test",2017-05-05,47.1769,-122.7251,"retain","WGS84",-1.6,"turf",10,1,10,6,0.87,"87",869,86.9,144.833333333333,"Rocky Bay","Referred to as 'Anderson Island West 2' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 869/10 = 87.","zos_rest_ps__WDFW__Hart Crowser",7
"9","Anderson Island","Anderson Island West - South - north - HC - test - 2017","AND_south_L1","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Drayton Passage","CPS","test","--",2017-05-05,47.17693,-122.72505,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",7
"10","Anderson Island","Anderson Island South 1 - west - HC - large - 2017","AND_south_L2","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Nisqually Reach","CPS","large scale","large scale",2017-06-02,47.13875,-122.725111,"retain","WGS84",-1.6,"turf",40,4,160,155,20.5,"2050",20500,128.125,132.258064516129,"Rocky Bay","large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 20500/10 = 2050.","zos_rest_ps__WDFW__Hart Crowser",8
