"","planting_location_code","loc_gps_rec_count","latsumm","lonsumm","gps_category"
"1","AND_west4",1,NA,NA,"missing"
"2","AND_west5",1,NA,NA,"missing"
"3","AND_west6",1,NA,NA,"missing"
"4","DEL_west_deep_1",1,NA,NA,"missing"
"5","DEL_west_shallow_1",1,NA,NA,"missing"
"6","HC_off_1",1,NA,NA,"missing"
"7","HC_off_2",1,NA,NA,"missing"
"8","JSP_chia_1",1,NA,NA,"missing"
"9","JSP_mid_2",2,NA,NA,"missing"
"10","JSP_mid_connect",1,NA,NA,"missing"
"11","JSP_mid_south_1",1,NA,NA,"missing"
"12","JSP_mid_south_2",5,NA,NA,"missing"
"13","JSP_south_test",1,NA,NA,"missing"
