"","plantingID","planting_name","planting_location_code","planting_date","planting_method","donor_site_code","subproj_code","activity_type","planting_geometry","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effective_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","notes"
"1","AND_west4__2021-06-22__rebar__DPW","Anderson Island South 1 - west - test - 2021","AND_west4",2021-06-22,"rebar","DPW","unaffiliated__unspecified__unspecified","test","point",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"None."
"2","AND_west5__2021-06-25__rebar__DPW","Anderson Island South 2 - west - test - 2021","AND_west5",2021-06-25,"rebar","DPW","unaffiliated__unspecified__unspecified","test","point",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"None."
"3","AND_west6__2021-06-25__rebar__DPW","Anderson Island South 3 - west - test - 2021","AND_west6",2021-06-25,"rebar","DPW","unaffiliated__unspecified__unspecified","test","point",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"None."
"4","BB_test_1__2020-08-02__rebar__DMB","Blind Bay - DNR - test - 2020","BB_test_1",2020-08-02,"rebar","DMB","zos_rec_sji__DNR__unspecified","test","line",14,1,14,4,0.4,16,320,22.8571428571429,80,"GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020."
"5","BB_test_1__2020-08-02__rebar__FYB","Blind Bay - DNR - test - 2020","BB_test_1",2020-08-02,"rebar","FYB","zos_rec_sji__DNR__unspecified","test","line",14,1,14,0.75,0.075,3,60,4.28571428571429,80,"GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020."
"6","BB_test_1__2020-08-02__rebar__HRI","Blind Bay - DNR - test - 2020","BB_test_1",2020-08-02,"rebar","HRI","zos_rec_sji__DNR__unspecified","test","line",14,1,14,2.25,0.225,9,135,9.64285714285714,60,"GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Pacific Northwest National Laboratory mesocosms on 31 July 2020."
"7","BB_test_1__2020-08-02__rebar__SHH","Blind Bay - DNR - test - 2020","BB_test_1",2020-08-02,"rebar","SHH","zos_rec_sji__DNR__unspecified","test","line",14,1,14,3.75,0.375,15,210,15,56,"GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020."
"8","BB_test_1__2020-08-02__rebar__Mix","Blind Bay - DNR - test - 2020","BB_test_1",2020-08-02,"rebar","Mix","zos_rec_sji__DNR__unspecified","test","line",14,1,14,1.75,0.175,7,175,12.5,100,"GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020."
"9","DEL_1__2018-06-28__rebar__DPW","Delano Beach - PNNL - test - enhancement","DEL_1",2018-06-28,"rebar","DPW","dnr__DNR__unspecified","test","point",5,0.5,2.5,2.75,0.275,11,275,110,100,"transplanted 4, 0.25 m2 patches. 3 patches had 3, 50 cm lengths of rebar each with 25 shoots while 1 patch had 2, 50 cm lengths of rebar each with 25 shoots."
"10","DEL_3__2018-06-28__rebar__DPW","Delano Beach East - north - HC - test - enhancement","DEL_3",2018-06-28,"rebar","DPW","dnr__DNR__unspecified","test","point",5,0.5,2.5,2.25,0.225,9,225,90,100,"transplanted 3, 0.25 m2 patch with 3, 50 cm lengths of rebar each with 25 shoots near north buoy"
"11","DEL_west_shallow_1__2021-06-23__rebar__DPW","Delano Beach West - DNR - shallow - test - 2021","DEL_west_shallow_1",2021-06-23,"rebar","DPW","dnr__DNR__unspecified","test","point",1.5,1,1.5,4.5,0.45,18,270,180,60,"None."
"12","DEL_west_deep_1__2021-06-23__rebar__DPW","Delano Beach West - DNR - deep - test - 2021","DEL_west_deep_1",2021-06-23,"rebar","DPW","dnr__DNR__unspecified","test","point",1,1,1,3,0.3,12,180,180,60,"None."
"13","DB_test_2__2021-05-13__rebar__DPW","Dumas Bay - KC Zm Restoration - test - 2021","DB_test_2",2021-05-13,"rebar","DPW","kingco__KingCounty__unspecified","test","point",3.5,0.5,1.75,0.75,0.225,9,180,102.857142857143,240,"Planted on plot southwest of light sensor location, then one deeper from there and one plot shallower from there"
"14","DB_test_2__2021-05-26__rebar__DPW","Dumas Bay - KC Zm Restoration - test - 2021","DB_test_2",2021-05-26,"rebar","DPW","kingco__KingCounty__unspecified","test","point",3.5,0.5,1.75,0.75,0.225,9,180,102.857142857143,240,"Planted on plot ENE of light sensor location. 3 plots of 3 rebar planted at 5m, 6m and 7m ENE of light sensor"
"15","DB_test_2__2021-06-26__rebar__DPW","Dumas Bay - KC Zm Restoration - test - 2021","DB_test_2",2021-06-26,"rebar","DPW","kingco__KingCounty__unspecified","test","point",3.5,2,7,1.5,0.45,18,270,38.5714285714286,180,"planted in parallel groups of 3 in line with transplants from May. One row set 1 m further offshore than the shallow row."
"16","HAR_shallow_L3__2020-06-01__rebar__Mix","Harstine Island - PNNL - Large Scale 3 - shallow - 2020","HAR_shallow_L3",2020-06-01,"rebar","Mix","zos_rec_ps__USFWS__PNNL","large scale","line",32,6,192,118.5,11.85,474,11390,59.3229166666667,96.1181434599156,"2"
"17","JSP_mid_south_2__2017-05-28__rebar__DPW_r1","Joemma Beach State Park Mid South - PNNL - large - T4-5 - 2015","JSP_mid_south_2",2017-05-28,"rebar","DPW","dnr__DNR__unspecified","test","point",4,0.25,1,1,0.1,4,80,80,80,"4, 50 cm long rebar with 20 shoots attached to each placed between Transects 4 & 5 of JBSP Mid South - PNNL - large - 2015, approximately 10 m from southern end of transects."
"18","JSP_mid_south_2__2017-05-28__rebar__DPW_r2","Joemma Beach State Park Mid South - PNNL - large - T4-5 - 2015","JSP_mid_south_2",2017-05-28,"rebar","DPW","dnr__DNR__unspecified","test","point",4,0.25,1,1,0.1,4,100,100,100,"4, 50 cm long rebar with 20 shoots attached to each placed between Transects 4 & 5 of JBSP Mid South - PNNL - large - 2015. About 5 meters north of southern extent of Transects 4 & 5."
"19","JSP_mid_south_2__2017-05-28__rebar__DPW_r3","Joemma Beach State Park Mid South - PNNL - large - T4-5 - 2015","JSP_mid_south_2",2017-05-28,"rebar","DPW","dnr__DNR__unspecified","test","point",2,0.25,0.5,0.5,0.05,2,50,100,100,"2, 50 cm long rebar with 20 shoots attached to each placed between Transects 4 & 5 of JBSP Mid South - PNNL - large - 2015. Most southern extent of Transects 4 & 5."
"20","JSP_mid_south_2__2017-05-28__burlap__DPW","Joemma Beach State Park Mid South - PNNL - large - T4-5 - 2015","JSP_mid_south_2",2017-05-28,"burlap","DPW","dnr__DNR__unspecified","test","point",2,0.25,0.5,0.5,0.125,2,50,100,100,"2, 40 cm long burlap strips with 20 shoots attached to each placed between Transects 4 & 5 of JBSP Mid South - PNNL - large - 2015. Most southern extent of Transects 4 & 5."
"21","JSP_mid_BG1__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 1 - Belowground (BG)","JSP_mid_BG1",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"22","JSP_mid_C1__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 1 - Control ( C)","JSP_mid_C1",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"23","JSP_mid_AG2__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 2 - AG","JSP_mid_AG2",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
"24","JSP_mid_C2__2017-04-29__staple__DMB","Joemma Beach State Park Mid - DNR - BESE v1 - 2 - C","JSP_mid_C2",2017-04-29,"staple","DMB","dnr__DNR__unspecified","test","point",1,1,1,0.008,0.015,3,12,12,1500,"BESE setup version 1 - setup was incorrect. Rather than removing all the eelgrass, it was left in place and new BESEs set just westward. 3 planting units with 4 shoots each. Dumas Bay shoots."
