"","group_no","planting_location_code_summ","donor_site_code_summ","planting_method_summ","plantingID","planting_geometry","activity_type","planting_date","planting_location_code","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effecive_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_code","subproj_code"
"1",1,"AMS_shallow","THC","staple","AMS_shallow__2013-06-06__staple__THC","point","test",2013-06-06,"AMS_shallow","staple",6,6,36,36,0.9,180,720,20,20,"THC","twentypc__WDFW__PNNL"
"2",2,"AMS_deep","THC","staple","AMS_deep__2013-06-06__staple__THC","point","test",2013-06-06,"AMS_deep","staple",6,6,36,36,0.9,180,720,20,20,"THC","twentypc__WDFW__PNNL"
"3",3,"AND_west1","KTI","staple","AND_west1__2015-02-27__staple__KTI","point","test",2015-02-27,"AND_west1","staple",5,5,25,25,0.625,125,500,20,20,"KTI","zos_rest_ps__DNR__PNNL"
"4",4,"AND_west2","SPT","rebar","AND_west2__2016-09-20__rebar__SPT","point","test",2016-09-20,"AND_west2","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"SPT","zos_rest_3_deltas__USACE__PNNL"
"5",5,"AND_south1","SPT","rebar","AND_south1__2016-09-20__rebar__SPT","point","test",2016-09-20,"AND_south1","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"SPT","zos_rest_3_deltas__USACE__PNNL"
"6",6,"AND_west_L1","RKB","turf","AND_west_L1__2017-05-05__turf__RKB","line","test",2017-05-05,"AND_west_L1","turf",10,1,10,6,0.87,87,869,86.9,144.833333333333,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"7",7,"AND_south_L1","RKB","turf","AND_south_L1__2017-05-05__turf__RKB","line","test",2017-05-05,"AND_south_L1","turf",10,1,10,6,0.87,87,869,86.9,144.833333333333,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"8",8,"AND_south_L2","RKB","turf","AND_south_L2__2017-06-02__turf__RKB","polygon","large scale",2017-06-02,"AND_south_L2","turf",40,4,160,155,20.5,2050,20500,128.125,132.258064516129,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"9",9,"AND_south_L3","RKB","turf","AND_south_L3__2017-06-04__turf__RKB","polygon","large scale",2017-06-04,"AND_south_L3","turf",40,4,160,160,24.83,2483,24830,155.1875,155.1875,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"10",10,"AND_south_L4","THC","rebar","AND_south_L4__2017-08-08__rebar__THC","line","large scale",2017-08-08,"AND_south_L4","rebar",30,5,150,105.25,10.525,421,10525,70.1666666666667,100,"THC","zos_rest_3_deltas__USACE__PNNL"
"11",11,"AMS_deeper","AND","rebar","AMS_deeper__2020-06-30__rebar__AND","point","test",2020-06-30,"AMS_deeper","rebar",2.5,2.5,6.25,4.75,0.475,19,475,76,100,"AND","zos_rec_ps__USACE__PNNL"
"12",12,"AND_west3","AND","rebar","AND_west3__2020-07-01__rebar__AND","point","test",2020-07-01,"AND_west3","rebar",3,2.5,7.5,6.25,0.625,25,625,83.3333333333333,100,"AND","zos_rec_ps__USACE__PNNL"
"13",13,"AND_nw1","AND","rebar","AND_nw1__2020-06-30__rebar__AND","point","test",2020-06-30,"AND_nw1","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"AND","zos_rec_ps__USACE__PNNL"
"14",14,"AND_west4","DPW","rebar","AND_west4__2021-06-22__rebar__DPW","point","test",2021-06-22,"AND_west4","rebar",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"DPW","unaffiliated__unspecified__unspecified"
"15",15,"AND_west5","DPW","rebar","AND_west5__2021-06-25__rebar__DPW","point","test",2021-06-25,"AND_west5","rebar",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"DPW","unaffiliated__unspecified__unspecified"
"16",16,"AND_west6","DPW","rebar","AND_west6__2021-06-25__rebar__DPW","point","test",2021-06-25,"AND_west6","rebar",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"DPW","unaffiliated__unspecified__unspecified"
"17",17,"AND_se1","DPW","rebar","AND_se1__2023-06-05__rebar__DPW","point","test",2023-06-05,"AND_se1","rebar",1.5,0.5,0.75,2.25,0.225,9,150,200,66.6666666666667,"DPW","unaffiliated__unspecified__unspecified"
"18",18,"BB_test_1","DMB","rebar","BB_test_1__2020-08-02__rebar__DMB","line","test",2020-08-02,"BB_test_1","rebar",14,1,14,4,0.4,16,320,22.8571428571429,80,"DMB","zos_rec_sji__DNR__unspecified"
"19",19,"BB_test_1","FYB","rebar","BB_test_1__2020-08-02__rebar__FYB","line","test",2020-08-02,"BB_test_1","rebar",14,1,14,0.75,0.075,3,60,4.28571428571429,80,"FYB","zos_rec_sji__DNR__unspecified"
"20",20,"BB_test_1","HRI","rebar","BB_test_1__2020-08-02__rebar__HRI","line","test",2020-08-02,"BB_test_1","rebar",14,1,14,2.25,0.225,9,135,9.64285714285714,60,"HRI","zos_rec_sji__DNR__unspecified"
"21",21,"BB_test_1","SHH","rebar","BB_test_1__2020-08-02__rebar__SHH","line","test",2020-08-02,"BB_test_1","rebar",14,1,14,3.75,0.375,15,210,15,56,"SHH","zos_rec_sji__DNR__unspecified"
"22",22,"BB_test_1","Mix","rebar","BB_test_1__2020-08-02__rebar__Mix","line","test",2020-08-02,"BB_test_1","rebar",14,1,14,1.75,0.175,7,175,12.5,100,"Mix","zos_rec_sji__DNR__unspecified"
