"","site_name","plantingID","planting_name"
"1","Anderson Island West - North - south - HC - test - 2017","AND_west_L1__2017-05-05__turf__RKB","multiple"
"2","Anderson Island West - North - north - HC - test - 2017","AND_west_L1__2017-05-05__turf__RKB","multiple"
"3","Anderson Island West - South - south - HC - test - 2017","AND_south_L1__2017-05-05__turf__RKB","multiple"
"4","Anderson Island West - South - north - HC - test - 2017","AND_south_L1__2017-05-05__turf__RKB","multiple"
"5","Anderson Island South 1 - west - HC - large - 2017","AND_south_L2__2017-06-02__turf__RKB","multiple"
"6","Anderson Island South 1 - east - HC - large - 2017","AND_south_L2__2017-06-02__turf__RKB","multiple"
"7","Anderson Island South 2 - west - HC - large - 2017","AND_south_L3__2017-06-04__turf__RKB","multiple"
"8","Anderson Island South 2 - east - HC - large - 2017","AND_south_L3__2017-06-04__turf__RKB","multiple"
"9","Delano W T1 - HC - test - 2016","DEL_L1__2016-04-21__burlap__CTI","multiple"
"10","Delano W T2 - HC - test - 2016","DEL_L1__2016-04-21__burlap__CTI","multiple"
"11","Delano Beach - SE - HC - large - 2016","DEL_P1__2016-06-14__burlap__CTI","multiple"
"12","Delano Beach - SW - HC - large - 2016","DEL_P1__2016-06-14__burlap__CTI","multiple"
"13","Delano Beach - NE - HC - large - 2016","DEL_P1__2016-06-14__burlap__CTI","multiple"
"14","Delano Beach - NW - HC - large - 2016","DEL_P1__2016-06-14__burlap__CTI","multiple"
"15","Fudge Point South - south - HC - test - 2017","FDG_L1__2017-07-19__turf__RKB","multiple"
"16","Fudge Point South - north - HC test - 2017","FDG_L1__2017-07-19__turf__RKB","multiple"
"17","Fudge Point North - south - HC - test - 2017","FDG_L2__2017-07-19__turf__RKB","multiple"
"18","Fudge Point North - north - HC - test - 2017","FDG_L2__2017-07-19__turf__RKB","multiple"
"19","Fudge Point South - south - HC - test - 2018","FDG_L1__2018-06-12__rebar__DPW","multiple"
"20","Fudge Point South - north - HC test - 2018","FDG_L1__2018-06-12__rebar__DPW","multiple"
"21","Fudge Point North - south - HC - test - 2018","FDG_L2__2018-06-12__rebar__DPW","multiple"
"22","Fudge Point North - north - HC - test - 2018","FDG_L2__2018-06-12__rebar__DPW","multiple"
"23","Joemma Beach State Park Mid South - W - PNNL - large - 2015","JSP_mid_south_P1__2015-05-17__staple__Mix","multiple"
"24","Joemma Beach State Park Mid South - N - PNNL - large - 2015","JSP_mid_south_P1__2015-05-17__staple__Mix","multiple"
"25","Joemma Beach State Park Mid South - E - PNNL - large - 2015","JSP_mid_south_P1__2015-05-17__staple__Mix","multiple"
"26","Joemma Beach State Park Mid South - S - PNNL - large - 2015","JSP_mid_south_P1__2015-05-17__staple__Mix","multiple"
