,pdmkey,count,,planting relationships,geometry,coords
1,AMS_deep_20130606_staple,1,,,,
2,AMS_deeper_20200630_rebar,1,,,,
3,AMS_shallow_20130606_staple,1,,,,
4,AND_nw1_20200630_rebar,1,,,,
5,AND_se1_20230605_rebar,1,,,,
6,AND_south1_20160920_rebar,1,,,,
7,AND_south_L1_20170505_turf,1,,,,
8,AND_south_L2_20170602_turf,1,,,,
9,AND_south_L3_20170604_turf,1,,,,
10,AND_south_L4_20170808_rebar,1,,,,
11,AND_west1_20150227_staple,1,,,,
12,AND_west2_20160920_rebar,1,,,,
13,AND_west3_20200701_rebar,1,,,,
14,AND_west4_20210622_rebar,1,,,,
15,AND_west5_20210625_rebar,1,,,,
16,AND_west6_20210625_rebar,1,,,,
17,AND_west_L1_20170505_turf,1,,,,
18,BB_test_1_20200802_rebar,5,"Blind Bay 2020 ""reps""",single,line,all same GPS coords
19,CHC_20150218_staple,1,,,,
20,COM_L1_20180626_rebar,1,,,,
21,COM_L2_20190609_rebar,1,,,,
22,COM_deep_20170831_rebar,1,,,,
23,COM_shallow_20170831_rebar,1,,,,
24,DB_test_1_20200706_rebar,1,,,,
25,DB_test_2_20210428_rebar,1,,,,
26,DB_test_2_20210513_rebar,1,,,,
27,DB_test_2_20210526_rebar,1,,,,
28,DB_test_2_20210626_rebar,1,,,,
29,DB_test_6_20220616_rebar,1,,,,
30,DB_test_7_20220519_rebar,1,,,,
31,DEL_1_20150226_staple,1,,,,
32,DEL_1_20180628_rebar,1,,,,
33,DEL_2_20170717_turf,1,,,,
34,DEL_3_20170717_turf,1,,,,
35,DEL_3_20180628_rebar,1,,,,
36,DEL_L1_20160421_burlap,2,transect endpoints,single,line,different GPS coords
37,DEL_L_20210603_rebar,1,,,,
38,DEL_P1_20160614_burlap,1,,,,
39,DEL_east_1_20200701_rebar,1,,,,
40,DEL_west_1_20200701_rebar,1,,,,
41,DEL_west_deep_1_20210623_rebar,1,,,,
42,DEL_west_shallow_1_20210623_rebar,1,,,,
43,ELD_20200701_rebar,1,,,,
44,ELD_deep_20150312_staple,1,,,,
45,ELD_shallow_20150312_staple,1,,,,
46,ELW_deep_west_20160811_rebar,1,,,,
47,ELW_shallow_west_20160811_rebar,1,,,,
48,FDG_1_20170719_rebar,1,,,,
49,FDG_L1_20170719_turf,1,,,,
50,FDG_L1_20180612_rebar,1,,,,
51,FDG_L2_20170719_turf,1,,,,
52,FDG_L2_20180612_rebar,1,,,,
53,GRA_1_20150312_staple,1,,,,
54,GRA_2_20160721_rebar,1,,,,
55,HAR_1_20170607_rebar,1,,,,
56,HAR_2_20170607_rebar,1,,,,
57,HAR_3_20170607_rebar,1,,,,
58,HAR_4_20170607_rebar,1,,,,
59,HAR_4_20170607_staple,1,,,,
60,HAR_5_20200629_rebar,1,,,,
61,HAR_6_20200629_rebar,1,,,,
62,HAR_deep_L1_20180515_rebar,1,,,,
63,HAR_shallow_L1_20180614_rebar,1,,,,
64,HAR_shallow_L2_20190514_rebar,1,,,,
65,HAR_shallow_L3_20200601_rebar,1,,,,
66,HC_off_1_20220617_rebar,1,,,,
67,HC_off_2_20250710_rebar,1,,,,
68,HPT_north_2_20150518_staple,1,,,,
69,HPT_north_2_20200629_rebar,1,,,,
70,HPT_south_1_20150518_staple,1,,,,
71,HPT_south_2_20200629_rebar,1,,,,
72,HRI_20150312_staple,1,,,,
73,JSP_chia_1_20160524_rebar,1,,,,
74,JSP_mid_1_20180714_pucks,1,,,,
75,JSP_mid_1_20180714_rebar,1,,,,
76,JSP_mid_2_20180714_pucks,1,,,,
77,JSP_mid_2_20180714_rebar,1,,,,
78,JSP_mid_3_20180714_pucks,1,,,,
79,JSP_mid_3_20180714_rebar,1,,,,
80,JSP_mid_4_20200706_rebar,1,,,,
81,JSP_mid_AG1_20170525_staple,1,,,,
82,JSP_mid_AG2_20170525_staple,1,,,,
83,JSP_mid_AG3_20170525_staple,1,,,,
84,JSP_mid_AG4_20170525_staple,1,,,,
85,JSP_mid_BG1_20170525_staple,1,,,,
86,JSP_mid_BG2_20170525_staple,1,,,,
87,JSP_mid_BG3_20170525_staple,1,,,,
88,JSP_mid_BG4_20170525_staple,1,,,,
89,JSP_mid_C1_20170525_staple,1,,,,
90,JSP_mid_C2_20170525_staple,1,,,,
91,JSP_mid_C3_20170525_staple,1,,,,
92,JSP_mid_C4_20170525_staple,1,,,,
93,JSP_mid_P1_20170526_burlap,1,,,,
94,JSP_mid_P1_20170526_rebar,1,,,,
95,JSP_mid_P1_20170526_staple,1,,,,
96,JSP_mid_P1_20170526_washer,1,,,,
97,JSP_mid_connect_20220617_rebar,1,,,,
98,JSP_mid_deep_20130605_staple,1,,,,
99,JSP_mid_north_P1_20150607_staple,4,polygon corners,single,polygon,different but not rectangular
100,JSP_mid_shallow_20130605_staple,1,,,,
101,JSP_mid_south_1_20180613_rebar,1,,,,
102,JSP_mid_south_2_20170528_burlap,1,,,,
103,JSP_mid_south_2_20170528_rebar,3,reps of tests plantings,single,point,missing GPS coords
104,JSP_mid_south_2_20180613_rebar,1,,,,
105,JSP_mid_south_P1_20150517_staple,4,polygon corners,single,polygon,different coords
106,JSP_north_20160517_burlap,1,,,,
107,JSP_north_L1_20170504_turf,1,,,,
108,JSP_north_L2_20170504_turf,1,,,,
109,JSP_north_P1_20170526_burlap,1,,,,
110,JSP_north_P1_20170526_rebar,1,,,,
111,JSP_north_P1_20170526_staple,1,,,,
112,JSP_north_P1_20170526_washer,1,,,,
113,JSP_south_P1_20160725_burlap,1,,,,
114,JSP_south_P2_20170507_turf,1,,,,
115,JSP_south_P3_20170519_turf,1,,,,
116,JSP_south_P4_20170522_turf,1,,,,
117,JSP_south_P5_20170526_burlap,1,,,,
118,JSP_south_P5_20170526_rebar,1,,,,
119,JSP_south_P5_20170526_staple,1,,,,
120,JSP_south_P5_20170526_washer,1,,,,
121,JSP_south_test_20210625_rebar,1,,,,
122,JSP_southeast_20150609_staple,1,,,,
123,KYP_dog1_20200630_rebar,1,,,,
124,LBT_east_20130607_staple,1,,,,
125,LBT_west_20130607_staple,1,,,,
126,MCD_1_20200630_rebar,1,,,,
127,MCD_north_L1_20170504_turf,1,,,,
128,MCD_south_L1_20170504_turf,1,,,,
129,MCN_North_3_20170607_rebar,1,,,,
130,MCN_north_20150226_staple,1,,,,
131,MCN_north_2_20170607_rebar,1,,,,
132,MCN_south_1_20160921_rebar,1,,,,
133,MCN_south_2_20160921_rebar,1,,,,
134,MCN_south_3_20160921_rebar,1,,,,
135,MCN_south_L1_20170707_rebar,1,,,,
136,MCN_south_L2_20170706_rebar,1,,,,
137,MCN_south_L3_20170708_rebar,1,,,,
138,MCN_still_1_20160921_rebar,1,,,,
139,MCN_still_2_20160921_rebar,1,,,,
140,MCN_still_2_20160921_staple,1,,,,
141,MIL_1_20170831_rebar,1,,,,
142,MIL_3_20170831_rebar,1,,,,
143,MRE_1_20210528_rebar,2,reps of tests plantings,single,point,same coords
144,MRE_2_20220517_rebar,2,reps of tests plantings,single,point,"same coords (one set, one NA)"
145,OST_20150218_staple,1,,,,
146,OTB_1_20230507_rebar,1,,,,
147,PEN_L1_20160520_burlap,1,,,,
