SITE LOCATION,SITE NAME,planting_location_code,planting_relationships,YEAR,HISTORICAL PRESENCE,DATA TYPE,WATER BODY,SVMP REGION,PROJECT NAME,FUNDING SOURCE,FUNDING SOURCE PROGRAM,CONTRACT 1,CONTRACT 1,CONTRACT 2,CONTRACT 2,CITATION,ACTIVITY TYPE,ACTIVITY FILTER,PLANTING DATE,LATITUDE,LONGITUDE,data_type,retain_drop,DATUM,ELEVATION,PLANTING METHOD,planting_method,PARALLEL SIDE,PERPENDICULAR SIDE,PLOT AREA,PLANTED AREA,EFFECTIVE AREA PLANTED,# OF PLANTING UNITS,# OF SHOOTS,PLOT SHOOT DENSITY ,FOOTPRINT (planted) SHOOT DENSITY ,EFFECTIVE SHOOT DENSITY ,DONOR SITE NAME,NOTES
,,,,,(source),"(point, polygon, line)",,,,,,(b/w funding source & DNR),(DNR contract #),(b/w DNR & contractor),(DNR contract #),,"(test planting, large-scale planting)","(test planting, large-scale planting)",(YYYY-MM-DD),(dec deg),(dec deg),,,"(WGS84, NAD83)","(m, MLLW)","(staple, rebar, washer, burlap, turf, ?)",,(m),(m),(m2),(m2),(m2),"(count of staples, rebar, etc.)",(shoots planted),(shoots m-2 of plot area planted),(shoots m-2 of footprint planted area planted),(shoots m-2 of effective area planted),,
Anderson Island,Amsterdam Bay - PNNL - shallow - test - 2013,AMS_shallow,single,2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Drayton Passage,SPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-06,47.16060,-122.72777,point,retain,WGS84,-0.9,staple,staple,6,6,36,36,0.90,180,720,20,20,800,Thompson Cove,
Anderson Island,Amsterdam Bay - PNNL - deep - test - 2013,AMS_deep,single,2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Drayton Passage,SPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-06,47.16068,-122.72782,point,retain,WGS84,-1.5,staple,staple,6,6,36,36,0.90,180,720,20,20,800,Thompson Cove,
Joemma Beach State Park,Joemma Beach State Park Mid - PNNL - shallow - test - 2013,JSP_mid_shallow,single,2013,,point,Case Inlet,SPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-05,47.22228,-122.80965,point,retain,WGS84,-0.9,staple,staple,6,6,36,36,0.89,178,712,20,20,800,Windy Bluff/Thompson Cove,Plants from two donor sites were tested at Joemma Beach State Park. Helical removed from test plot on 7 June 2016.
Joemma Beach State Park,Joemma Beach State Park Mid - PNNL - deep - test - 2013,JSP_mid_deep,single,2013,,point,Case Inlet,SPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-05,47.22202,-122.81008,point,retain,WGS84,-1.5,staple,staple,6,6,36,36,0.89,178,712,20,20,800,Windy Bluff/Thompson Cove,Plants from two donor sites were tested at Joemma State Park
Liberty Bay,Liberty Bay East - PNNL - test - 2013,LBT_east,single,2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Liberty Bay,CPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-07,47.70378,-122.60515,point,retain,WGS84,-1.5,staple,staple,6,6,36,36,0.90,180,720,20,20,800,Sandy Hook,
Liberty Bay,Liberty Bay West - PNNL - test - 2013,LBT_west,single,2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Liberty Bay,CPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-07,47.71000,-122.61402,point,retain,WGS84,-1.7,staple,staple,5,6,30,30,0.75,150,600,20,20,800,Sandy Hook,
Westcott Bay,Westcott Bay East - PNNL - test - 2013,WES_east,single,2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Westcott Bay,SJS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-14,48.60178,-123.13940,point,retain,WGS84,-1.2,staple,staple,5,95,475,25,0.56,112,448,1,18,800,PNNL - MSL Tanks,"head of bay, planted along a depth gradient from -4.0' to -6.0'"
Westcott Bay,Westcott Bay West - PNNL - test - 2013,WES_west,single,2013,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Westcott Bay,SJS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-14,48.59645,-123.16087,point,retain,WGS84,-1.5,staple,staple,5,57,285,25,0.59,118,472,2,19,800,PNNL - MSL Tanks,"middle of bay, planted along a depth gradient from -5.0' to -9.0'"
Zangle Cove,Zangle Cove - PNNL - test - 2013,ZAN_1,single,2013,personal observation,point,Dana Passage,SPS,20% more ZM,WDFW,National Estuary Program,12-1117, IAA 12-316,PNNL,IAA 12-317,"Vavrinec, J., A.B. Borde, R.M. Thom, S.L. Southard, J. Elster, K.D. Hall, L.M. Aston and J.L. Gaeckle. 2014. Evaluation of potential eelgrass restoration sites: methods, results, and recommendations. Prepared for the U.S. Department of Energy under contract DE-AC05-76RL01830. Pacific Northwest National Laboratory, Richland, WA. PNNL-23502.",test,test,2013-06-06,47.14555,-122.89323,point,retain,WGS84,-1.2,staple,staple,5,9,45,45,1.09,218,872,19,19,800,Thompson Cove,
