site_name,planting_location_code,planting_date,lat,lon,planting_method,donor_site,notes
Joemma Beach State Park Mid - DNR - BESE - AG - 1 - 2017,JSP_mid_AG1,5/25/2017,47.22246,-122.81024,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - BG - 1 - 2017,JSP_mid_BG1,5/25/2017,47.22249,-122.81026,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - C - 1 - 2017,JSP_mid_C1,5/25/2017,47.22251,-122.81027,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - AG - 2 - 2017,JSP_mid_AG2,5/25/2017,47.22254,-122.81028,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - C - 2 - 2017,JSP_mid_C2,5/25/2017,47.22255,-122.81029,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - BG - 2 - 2017,JSP_mid_BG2,5/25/2017,47.22260,-122.81031,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - C - 3 - 2017,JSP_mid_C3,5/25/2017,47.22261,-122.81031,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - BG - 3 - 2017,JSP_mid_BG3,5/25/2017,47.22264,-122.81034,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - C - 4 - 2017,JSP_mid_C4,5/25/2017,47.22272,-122.81039,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - BG - 4 - 2017,JSP_mid_BG4,5/25/2017,47.22266,-122.81036,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - AG - 3 - 2017,JSP_mid_AG3,5/25/2017,47.22269,-122.81037,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE - AG - 4 - 2017,JSP_mid_AG4,5/25/2017,47.22273,-122.81040,staple,DuPont Wharf,
Joemma Beach State Park Mid - DNR - BESE v1 - 1 - Aboveground (AG),AG1,4/29/2017,47.222461,-122.810239,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 1 - Belowground (BG),BG1,4/29/2017,47.222489,-122.810262,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 1 - Control ( C),C1,4/29/2017,47.222512,-122.810267,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 2 - AG,AG2,4/29/2017,47.222542,-122.810279,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 2 - C,C2,4/29/2017,47.222552,-122.810293,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 2 - BG,BG2,4/29/2017,47.222596,-122.810309,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 3 - C,C3,4/29/2017,47.222612,-122.810312,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 3 - BG,BG3,4/29/2017,47.222638,-122.810339,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 4 - C,C4,4/29/2017,47.222659,-122.810361,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 4 - BG,BG4,4/29/2017,47.222688,-122.810372,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 3 - AG,AG3,4/29/2017,47.22272,-122.810386,staple,Dumas Bay,setup incorrect
Joemma Beach State Park Mid - DNR - BESE v1 - 4 - AG,AG4,4/29/2017,47.222733,-122.8104,staple,Dumas Bay,setup incorrect
,,,,,,,
